scenario,packetLoss,maxSpeed,repetition,warningTime,collisionTime,predictedTurn
WaveDelay,0.0,12.2,9,11.203507815956,26.6,1
WaveDelay,0.0,12.5,0,24.413563482886,26.3,1
WaveDelay,0.0,12.5,1,24.482112688909,26.3,1
WaveDelay,0.0,12.5,10,24.444450410512,26.3,1
WaveDelay,0.0,12.5,11,24.448701418025,26.3,1
WaveDelay,0.0,12.5,12,24.418034301963,26.3,1
WaveDelay,0.0,12.5,13,24.436794549822,26.3,1
WaveDelay,0.0,12.5,14,24.484178610367,26.3,1
WaveDelay,0.0,12.5,15,24.43169742721,26.3,1
WaveDelay,0.0,12.5,16,24.443540378829,26.3,1
WaveDelay,0.0,12.5,17,24.439770479809,26.3,1
WaveDelay,0.0,12.5,18,24.449612558545,26.3,1
WaveDelay,0.0,12.5,19,24.493955777031,26.3,1
WaveDelay,0.0,12.5,2,24.483997734958,26.3,1
WaveDelay,0.0,12.5,20,24.496776772954,26.3,1
WaveDelay,0.0,12.5,21,24.425847456102,26.3,1
WaveDelay,0.0,12.5,22,24.431424357291,26.3,1
WaveDelay,0.0,12.5,23,24.493799923278,26.3,1
WaveDelay,0.0,12.5,24,24.43958847889,26.3,1
WaveDelay,0.0,12.5,25,24.423390293679,26.3,1
WaveDelay,0.0,12.5,26,24.470736532818,26.3,1
WaveDelay,0.0,12.5,27,24.462586734005,26.3,1
WaveDelay,0.0,12.5,28,24.47160864152,26.3,1
WaveDelay,0.0,12.5,29,24.429045453707,26.3,1
WaveDelay,0.0,12.5,3,24.483334753187,26.3,1
WaveDelay,0.0,12.5,4,24.42157039189,26.3,1
WaveDelay,0.0,12.5,5,24.429175385562,26.3,1
WaveDelay,0.0,12.5,6,24.446401578102,26.3,1
WaveDelay,0.0,12.5,7,24.459219591817,26.3,1
WaveDelay,0.0,12.5,8,24.418944274785,26.3,1
WaveDelay,0.0,12.5,9,24.443086566107,26.3,1
WaveDelay,0.0,12.8,0,24.002055656654,26,1
WaveDelay,0.0,12.8,1,24.09572216592,26,1
WaveDelay,0.0,12.8,10,24.082163133726,26,1
WaveDelay,0.0,12.8,11,24.07952405966,26,1
WaveDelay,0.0,12.8,12,24.06939698664,26,1
WaveDelay,0.0,12.8,13,24.029395849891,26,1
WaveDelay,0.0,12.8,14,24.036115762724,26,1
WaveDelay,0.0,12.8,15,24.082514020344,26,1
WaveDelay,0.0,12.8,16,24.014613570108,26,1
WaveDelay,0.0,12.8,17,24.086322965245,26,1
WaveDelay,0.0,12.8,18,24.09340811064,26,1
WaveDelay,0.0,12.8,19,24.042836733446,26,1
WaveDelay,0.0,12.8,2,24.064886074539,26,1
WaveDelay,0.0,12.8,20,24.037909642758,26,1
WaveDelay,0.0,12.8,21,24.056201877492,26,1
WaveDelay,0.0,12.8,22,24.048128972007,26,1
WaveDelay,0.0,12.8,23,24.098569225114,26,1
WaveDelay,0.0,12.8,24,24.042135840692,26,1
WaveDelay,0.0,12.8,25,24.07956301695,26,1
WaveDelay,0.0,12.8,26,24.078484095753,26,1
WaveDelay,0.0,12.8,27,24.012195531861,26,1
WaveDelay,0.0,12.8,28,24.037441751385,26,1
WaveDelay,0.0,12.8,29,24.018227553845,26,1
WaveDelay,0.0,12.8,3,24.009790501198,26,1
